             core_37  |            lead_box  |  0 6 th fiber in the lead box  |                       0.1*cm -0.683012702*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                        fibera manual 37 
             core_38  |            lead_box  |  1 6 th fiber in the lead box  |                      0.1*cm -0.4098076212*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                        fibera manual 38 
             core_39  |            lead_box  |  2 6 th fiber in the lead box  |                      0.1*cm -0.1366025404*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                        fibera manual 39 
             core_40  |            lead_box  |  3 6 th fiber in the lead box  |                       0.1*cm 0.1366025404*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                        fibera manual 40 
             core_41  |            lead_box  |  4 6 th fiber in the lead box  |                       0.1*cm 0.4098076212*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                        fibera manual 41 
             core_42  |            lead_box  |  5 6 th fiber in the lead box  |                        0.1*cm 0.683012702*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                        fibera manual 42 
             core_43  |            lead_box  |  0 7 th fiber in the lead box  |                       0.2*cm -0.683012702*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                        fibera manual 43 
             core_44  |            lead_box  |  1 7 th fiber in the lead box  |                      0.2*cm -0.4098076212*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                        fibera manual 44 
             core_45  |            lead_box  |  2 7 th fiber in the lead box  |                      0.2*cm -0.1366025404*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                        fibera manual 45 
             core_46  |            lead_box  |  3 7 th fiber in the lead box  |                       0.2*cm 0.1366025404*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                        fibera manual 46 
             core_47  |            lead_box  |  4 7 th fiber in the lead box  |                       0.2*cm 0.4098076212*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                        fibera manual 47 
             core_48  |            lead_box  |  5 7 th fiber in the lead box  |                        0.2*cm 0.683012702*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                        fibera manual 48 
             core_49  |            lead_box  |  0 8 th fiber in the lead box  |                       0.3*cm -0.683012702*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                        fibera manual 49 
             core_50  |            lead_box  |  1 8 th fiber in the lead box  |                      0.3*cm -0.4098076212*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                        fibera manual 50 
